iter	Accuracy	MultiClass
503	0.47765	1.797560243
504	0.4780916667	1.796989583
505	0.47845	1.79636441
506	0.4788277778	1.795723611
507	0.4791861111	1.795160937
508	0.4795166667	1.79457934
509	0.4798916667	1.793947917
510	0.4799888889	1.793400521
511	0.4803861111	1.792713194
512	0.4806527778	1.792034722
513	0.4811527778	1.791359549
514	0.4815916667	1.79070625
515	0.4819333333	1.790209549
516	0.4823305556	1.789493403
517	0.4824166667	1.788834722
518	0.4826722222	1.788265451
519	0.4830527778	1.787543056
520	0.4835138889	1.786888194
521	0.4836138889	1.786287847
522	0.4839416667	1.785670312
523	0.4842944444	1.785099306
524	0.48475	1.784558507
525	0.4852222222	1.783952951
526	0.4855305556	1.783444097
527	0.4856305556	1.782830208
528	0.4860972222	1.782213021
529	0.4866	1.781499306
530	0.4868055556	1.780884028
531	0.4871416667	1.78021684
532	0.487375	1.779749826
533	0.4877611111	1.779117188
534	0.4882	1.778449306
535	0.488425	1.777900868
536	0.4886027778	1.777349826
537	0.4889138889	1.776677257
538	0.4892444444	1.776146528
539	0.4893555556	1.775649826
540	0.4897166667	1.77500434
541	0.4899833333	1.774532118
542	0.4900972222	1.773938542
543	0.4905472222	1.77335816
544	0.4909944444	1.772649826
545	0.49125	1.7721
546	0.49175	1.771459896
547	0.492025	1.770885764
548	0.4923305556	1.770226215
549	0.49265	1.76967066
550	0.4928194444	1.769125
551	0.49315	1.768525174
552	0.4936416667	1.767922396
553	0.4938222222	1.767416493
554	0.4939805556	1.766943229
555	0.4943888889	1.766414583
556	0.4947805556	1.765846528
557	0.4950416667	1.765267708
558	0.4953194444	1.764618924
559	0.4955194444	1.764092708
560	0.4960638889	1.763531771
561	0.4964305556	1.762992188
562	0.4965916667	1.762447396
563	0.4970416667	1.761916493
564	0.4972305556	1.761286806
565	0.4976111111	1.760646701
566	0.4978472222	1.76005625
567	0.4981555556	1.759611285
568	0.4987083333	1.758966146
569	0.4991333333	1.758352951
570	0.4993722222	1.757793924
571	0.4995111111	1.757099479
572	0.4998694444	1.756486458
573	0.50025	1.75592309
574	0.5005444444	1.755271701
575	0.5009083333	1.754857639
576	0.5010527778	1.754313021
577	0.5015416667	1.753652778
578	0.5019361111	1.752999653
579	0.5021416667	1.752382465
580	0.5024527778	1.751786285
581	0.5029805556	1.751158507
582	0.5034694444	1.750599306
